max_features,max_depth,n_estimators,train accuracy,test accuracy
sqrt,5,5,0.8004246284501062,0.6539278131634819
sqrt,5,25,0.921443736730361,0.7515923566878981
sqrt,5,50,0.9193205944798302,0.7622080679405521
sqrt,5,75,0.9511677282377919,0.7600849256900213
sqrt,5,100,0.940552016985138,0.7707006369426752
sqrt,5,200,0.9447983014861996,0.8004246284501062
sqrt,10,5,0.8874734607218684,0.6560509554140127
sqrt,10,25,0.9554140127388535,0.772823779193206
sqrt,10,50,0.9554140127388535,0.8089171974522293
sqrt,10,75,0.9575371549893843,0.8089171974522293
sqrt,10,100,0.9639065817409767,0.821656050955414
sqrt,10,200,0.9617834394904459,0.8046709129511678
sqrt,None,5,0.8789808917197452,0.6454352441613588
sqrt,None,25,0.9447983014861996,0.7600849256900213
sqrt,None,50,0.9554140127388535,0.802547770700637
sqrt,None,75,0.9596602972399151,0.802547770700637
sqrt,None,100,0.9639065817409767,0.8152866242038217
sqrt,None,200,0.9617834394904459,0.8259023354564756
None,5,5,0.8301486199575372,0.643312101910828
None,5,25,0.940552016985138,0.7409766454352441
None,5,50,0.9469214437367304,0.772823779193206
None,5,75,0.9511677282377919,0.7579617834394905
None,5,100,0.9426751592356688,0.7749469214437368
None,5,200,0.9469214437367304,0.7664543524416136
None,10,5,0.9002123142250531,0.6772823779193206
None,10,25,0.9532908704883227,0.7961783439490446
None,10,50,0.9554140127388535,0.7983014861995754
None,10,75,0.9617834394904459,0.7940552016985138
None,10,100,0.9596602972399151,0.7983014861995754
None,10,200,0.9575371549893843,0.821656050955414
None,None,5,0.9129511677282378,0.6602972399150743
None,None,25,0.9532908704883227,0.7707006369426752
None,None,50,0.9575371549893843,0.7855626326963907
None,None,75,0.9554140127388535,0.8110403397027601
None,None,100,0.9575371549893843,0.7834394904458599
None,None,200,0.9596602972399151,0.8131634819532909
